N,Description,Status,Title,Abstract
2,Using sensors to understand the players behaviour.,REJECTED,Ensemble': Playing with sensors and sound,This paper presents a set of sensor driven sonic prototypes and the workshops in which they are played with by children in games of dressing up. Seven garments are fitted with wireless sensors that control sound samples and their modifiers in real time. The aim of the project is to capture the children's emerging understanding of the sensors as they explore and play and in the longer term inform the use of analog sensing in touchable interfaces. The system is described and observations from the first workshops are reported. The paper concludes with a short discussion and conclusions regarding both the system itself and the methods used. © 2004 ACM.
202,Automatic approach to tune parameters in game environments.,REJECTED,Fine-tuning parameters for emergent environments in games using artificial intelligence,"This paper presents the design, development, and test results of a tool for adjusting properties of emergent environment maps automatically according to a given scenario. Adjusting properties for a scenario allows a specific scene to take place while still enables players to meddle with emergent maps. The tool uses genetic algorithm and steepest ascent hill-climbing to learn and adjust map properties.Using the proposed tool, the need for time-consuming and labor-intensive parameter adjustments when setting up scenarios in emergent environment maps is greatly reduced. The tool works by converting the paths of events created by users (i.e., the spreading of fire and the flow of water) for a map to the properties of the map that plays out the scenario set by the given paths of events. Vital event points are preserved while event points outside the given scenario are minimized. Test results show that the tool preserves more than 70 percent of vital event points and reduces event points outside given scenarios to less than 3 percent."
207,Modeling the players behaviour.,REJECTED,"Friends and buffaloes: One game, two modelling processes","Starting from a simple gaming-simulation experiment about the management of a common resource, two modelling experiments were conducted in different settings. In the first experiment, the game was played by farmers and the modeller subsequently inferred a model from behaviour observed during the game. In order to address the validation problems underlying this type of modelling, a new experiment was conducted, in which computer science students played the game and then 'self-modelled' their behaviour. We shall present, compare, and discuss both these modelling processes. We show that self-modelling facilitated a better understanding of the players' behaviours, although it is not a complete solution. © 2008, IGI Global."
213,Using prototyping to create a game.,REJECTED,Gambit: a prototyping approach to video game design,"The design of a video game using a prototyping language is discussed. The emphasis is on the problems encountered in user interaction, graphical representation, simulation, and real-time control. The approach taken was that the language and its execution environment should closely parallel the player's perception of the video game universe. The result of these efforts, called Gambit, is a high-level machine-independent language and an accompanying runtime environment. The simple notions of type, type extension, asynchronous control, and object interactions allow a Gambit programmer to express a complex game design without focusing energy on implementation details peripheral to the central idea of the game. A compiler for a significant subset of Gambit has been implanted and run in the Smalltalk programming environment."
217,Using AI to predict the players strategy using previous data.,REJECTED,Game Player Strategy Pattern Recognition by using Radial Basis Function,"Pattern recognition has been successfully used in different application areas, its application on identifying player's strategy during the gameplay which is called Player Strategy Pattern Recognition (PSPR), is another interesting area. PSPR can greatly improve game AI's adaptability, and as a result the entertainment of game is promoted. In this paper, Pac-Man game is used as a test-bed. Kernel classifier of Radial Basis Function (RBF) is chosen to analyze off-line data from gamers who are choosing different strategies, in other words the classifiers are trained with sample data from players using different strategies. The method attempts to use the trained classifier to predict strategy pattern of a future player based on the data captured from its gameplay. This paper presents the basic principle of the PSPR by using the RBF theoretic approach and discusses the results of the experiments. © 2008 IEEE."
503,No related to game development.,REJECTED,GATE: Game-based testing environment,"In this paper, we propose a game-based public testing mechanism called GATE. The purpose of GATE is to make use of the rich human resource on the Internet to help increase effectiveness in software testing and improve test adequacy. GATE facilitates public testing in three main steps: 1) decompose the test criterion satisfaction problem into many smaller sub-model satisfaction problems; 2) construct games for each individual sub-models and presenting the games to the public through web servers; 3) collect and convert public users' action sequence data into real test cases which guarantee to cover not adequately tested elements. A preliminary study on apache-commons-math library shows that 44% of the branches have not been adequately tested by state of the art automatic test generation techniques. Among these branches, at least 42% are decomposable by GATE into smaller sub-problems. These elements naturally become the potential targets of GATE for public game-based testing. © 2011 Author."
248,Understanding the player behaviour by observing him playing.,REJECTED,Immersion and gameplay experience: A contingency framework,"The nature of the relationship between immersion and gameplay experience is investigated, focusing primarily on the literature related to flow. In particular, this paper proposes that immersion and gameplay experience are conceptually different, but empirically positively related through mechanisms related to flow. Furthermore, this study examines gamers' characteristics to determine the influence between immersion and gameplay experiences. The study involves 48 observations in one game setting. Regression analyses including tests for moderation and simple slope analysis are used to reveal gamers' age, experience, and understanding of the game, which moderate the relationship between immersion and gameplay experience. The results suggest that immersion is more positive for gameplay experience when the gamer lacks experience and understanding of the game as well as when the gamer is relatively older. Implications and recommendations for future research are discussed at length in the paper. Copyright © 2010 Daniel Ortqvist and Mats Liljedahl."
254,Usign games to aid software engineering.,REJECTED,Improving software projects inception phase using games: ActiveAction workshop,"Studies have demonstrated that an important factor to increase the success rate of software projects is the involvement of key stakeholders at the right time, in order to define business objectives, scope of the project and requirements. The Inception phase of projects is in charge to provide these outcomes and is suitable to really involve stakeholders as team members because of the non-technical nature of the activities. However, since the stakeholders' involvement is a time- and money-consuming activity, it is important to maximize its efficiency. With that in mind, ludic aspect inherent to games can be used as a strategy to optimize the Inception phase. This paper presents ActiveAction, a game-based workshop used as an alternative for the software project's Inception phase in order to increase its effectiveness and improve the stakeholders' involvement in the project. ActiveAction combines classical and game-based techniques which permit a deep involvement of stakeholders and a collaborative identification of objectives, constraints and risks during an intensive workshop oriented to project conceptualization. ActiveAction workshop resulted in a successful game-based strategy that has improved the Inception phase of 19 projects with different customers. After-workshop surveys, projects outcomes and customer satisfaction indicate validity of the method. ActiveAction is a valuable game-based alternative to carry out the Inception phase in a software project. It makes possible to get an important amount of information, directly from key stakeholders in a short period of time increasing the success rate of projects."
259,No related to testing.,REJECTED,Indirect Network Effects and Platform Dominance in the Video Game Industry: A Network Perspective,"Going beyond the traditional conceptualization of indirect network effects as the number of complements available, this study analyzes how the network positions of platforms and complementors explain platform dominance. We use data from the U.S. home video game industry between 2002 and 2006 to test our model of platform dominance. While the impact of degree of links with complementors representing the number of complements is significant, our study also finds that platform dominance is positively influenced by support from a greater breadth of titles by complementors and lesser degree of overlap with other platforms. We also find that ties with high-status complementors influence platform dominance, but this impact decreases with platform age. Our results suggest benefits to refine our conceptualization of indirect network effects from a network perspective. The managerial implications are that each platform provider needs to differentiate its platform by attracting high-status developers and by providing third-party developers with toolkits that encourage them to develop exclusive titles."
508,Not related to games.,REJECTED,Investigating the design process: Participatory design in agile software development,"Purpose: This paper aims to explore a case of customer and user participation in an agile software development project, which produced a tailor-made information system for workplace support as a step towards a theory of participatory design in agile software development. Design/methodology/approach: Based on an integrated framework for user participation derived from the participatory design literature the research was performed as a case study and semi-structured, open-ended interviews were conducted with about a third of the development team and with a representative sample of key players and future users in the customer organization. The interview data were supplemented with company and project documents. Findings: The paper found genuine customer and user participation carried out by onsite customers and by other operational staff in the form of direct and indirect participation and with functional and democratic empowerment. The onsite customers played informative, consultative and participative roles. The analysis revealed that planning games, user stories and story cards, working software and acceptance tests structured the customer and user participation. This form of user participation supported a balance between flexibility and project progress and resulted in a project and a product which were considered a success by the customer and the development organization. The analysis showed that the integrative framework for user participation can also fruitfully be used in a new context to understand what participatory design is and how, when and where it can be performed as an instance of a design process in agile development. As such the paper contributes to an analytical and a design theory of participatory design in agile development. Furthermore the paper explicates why participatory design contributes to the successful completion of the investigated project. By drawing on innovation theory it was found that participatory design in agile development bears the characteristics of a successful organizational innovation. Grounding further explanations in complex adaptive systems theory the paper provides an additional argument why participatory design despite some identified challenges fosters project staff to successfully carry out the agile development project. Originality/value: The paper presents an exploratory, empirical study of an understudied phenomenon and contributes to theory building. © Emerald Group Publishing Limited."
267,Not related to testing.,REJECTED,Is the resource-based 'view' a useful perspective for SHRM research? The case of the video game industry,"The purpose of this paper is to present the results of an exploratory empirical research carried out in 2001-2002, amongst 20 firms in the French video game industry. The objective of this research was to analyse the SHRM of these companies and to test the relevance of the Resource Based View of the firm, which states that Human Resources are all the more crucial for a given firm as they are specific, non imitable and socially complex (Coff, R. (1997) Academy of Management Review, Vol. 22, No. 2, pp.374-402.). On the basis of semi-directive interviews of HR operators, the stake was to characterise the HR practices of each company in connection with its strategy and development stage. We thus obtained a snapshot of SHRM's various profiles existing in this sector. We further analyse the possible rationales to explain a paradoxical finding: video games companies, as they grow, tend to get rid of their specific, socially complex and causally ambiguous assets (namely the creative skills) in favour of more generic set of skills (namely, the management skills). Copyright © 2005 Inderscience Enterprises Ltd."
280,Using game-logs to improve the player experience.,REJECTED,Mining experiential patterns from game-logs of board game,"In board games, game-logs record past game processes, which can be regarded as an accumulation of experience. Similar to a real person, a computer player can gradually increase its skill by learning from game-logs. Therefore, the game becomes more interesting. This paper proposes an extensible approach to mine experiential patterns from increasing game-logs. The computer player improves its strategies by utilizing these growing patterns, just as it acquires experience. To evaluate the effect and performance of the approach, we designed a sample board game as a test platform and elaborated an experiment consisting of a series of tests. Experimental results show that our approach is effective and efficient. © 2015 Liang Wang et al."
296,Model checking tool.,REJECTED,On-the-fly techniques for game-based software model checking,"We introduce on-the-fly composition, symbolic modelling and lazy iterated approximation refinement for game-semantic models. We present MAGE, an experimental model checker implementing this new technology. We discuss several typical examples and compare MAGE with BLAST and GAMECHECKER, which are the state-of-the-art tools in on-the-fly software model checking, and game-based model checking."
297,Not related to game.,REJECTED,Online model-based testing under uncertainty,"Modern software systems are required to operate in a highly uncertain and changing environment. They have to control the satisfaction of their requirements at run-time, and possibly adapt and cope with situations that have not been completely addressed at design-time. Software engineering methods and techniques are, more than ever, forced to deal with change and uncertainty (lack of knowledge) explicitly. For tackling the challenge posed by uncertainty in delivering more reliable systems, this paper proposes a novel online Model-based Testing technique that complements classic test case generation based on pseudo-random sampling strategies with an uncertainty-aware sampling strategy. To deal with system uncertainty during testing, the proposed strategy builds on an Inverse Uncertainty Quantification approach that is related to the discrepancy between the measured data at run-time (while the system executes) and a Markov Decision Process model describing the behavior of the system under test. To this purpose, a conformance game approach is adopted in which tests feed a Bayesian inference calibrator that continuously learns from test data to tune the system model and the system itself. A comparative evaluation between the proposed uncertainty-aware sampling policy and classical pseudo-random sampling policies is also presented using the Tele Assistance System running example, showing the differences in achieved accuracy and efficiency."
300,Ontology for game development. Not related to testing.,REJECTED,Ontology-Based Domain Analysis for Model Driven Pervasive Game Development,"Domain Analysis (DA) plays an important role in Model Driven Development (MDD) and Domain-Specific Modeling (DSM). However, most formal DA methods are heavy weight and not practical sometimes. For instance, when computer games are developed, the problem domain (game design) is decided gradually within numerous iterations. It is not practical to fit a heavy-weight DA in such an agile process. In this research, we propose a light-weight DA which can be embedded in the original game development process. The DA process is based on a game ontology which serves for both game design and domain analysis. In this paper, we introduce the ontology and demonstrate how to use it in the domain analysis process. We discuss the quality and evaluate the ontology with a user acceptance survey. The test result shows that most potential users considered the ontology useful and easy to use."
518,Strategy to choose which mobile platform to test according with the reviews.,REJECTED,Prioritizing the devices to test your app on: A case study of android game apps,"Star ratings that are given by the users of mobile apps directly impact the revenue of its developers. At the same time, for popular platforms like Android, these apps must run on hundreds of devices increasing the chance for device-specific problems. Devicespecific problems could impact the rating assigned to an app, given the varying capabilities of devices (e.g., hardware and software). To fix device-specific problems developers must test their apps on a large number of Android devices, which is costly and inefficient. Therefore, to help developers pick which devices to test their apps on, we propose using the devices that are mentioned in user reviews. We mine the user reviews of 99 free game apps and find that, apps receive user reviews from a large number of devices: between 38 to 132 unique devices. However, most of the reviews (80%) originate from a small subset of devices (on average, 33%). Furthermore, we find that developers of new game apps with no reviews can use the review data of similar game apps to select the devices that they should focus on first. Finally, among the set of devices that generate the most reviews for an app, we find that some devices tend to generate worse ratings than others. Our findings indicate that focusing on the devices with the most reviews (in particular the ones with negative ratings), developers can effectively prioritize their limited Quality Assurance (QA) efforts, since these devices have the greatest impact on ratings. Copyright 2014 ACM."
310,Game to aid SE.,REJECTED,Problems in modeling the software development process as an adventure game,"SESAM (Software Engineering Simulation by Animated Models) is a simulator for practicing the role of a software project manager. Its long term goal is to provide a tool for training CS students. As a research project, SESAM calls for an integrated model of the software development process, reflecting and quantifying many phenomena observed in real software projects. We are currently using the second prototype, which can already demonstrate some rational behaviour. More important, however, were our observations in the process of constructing SESAM. They shed light on the current state of software engineering, and on the applicability of metrics. SESAM is being developed in an evolutionary style by the Software Engineering Department (Lehrstuhl) at Stuttgart University; it is implemented in Smalltalk-80 on Unix-Workstations. This paper concentrates on the fundamental questions raised by the work on SESAM. A more complete description of our work has been published before (Ludewig et al., 1992). © Springer-Verlag Berlin Heidelberg 1993."
341,GameDev technique (GDD) to aid SE.,REJECTED,Proposal of Game Design Document from software engineering requirements perspective,"The Game Design Document (GDD) plays a key role in the design phase of every game development. A poorly elaborated GDD can lead to rework and loss of investment in production and postproduction phases. To address these issues, an analysis of several available GDDs found in the literature was performed, contrasting our findings with the best practices from Software Requirements Specification (SRS). Our improved GDD incorporates a common understanding of terms, quality assurance, decision making, definition of relations, boundaries, limitations and knowledge of game elements. Finally, our GDD is put side by side with a commercial GDD."
372,Gaming platforms to test algotithms,REJECTED,Simulating fusion algorithms with gaming platforms,"We discuss issues in testing various cognitive fusion algorithms for situation management. We provide a proof-of-principle discussion and demo showing how gaming technologies and platforms could be used to devise and test various fusion algorithms, including input, processing, and output, and we look at how the proof-of-principle could lead to more advanced test beds and methods for high-level fusion in support of situation management. We develop four simple fusion scenarios and one more complex scenario in which a simple rulebased system is scripted to govern the behavior of battlespace entities. We conclude that the proof-of-principle warrants further work to experiment with various high-level fusion algorithms and more complex scenarios for simulation exercises."
375,New immersion technology.,REJECTED,Smelling screen: Technique to present a virtual odor source at an arbitrary position on a screen,"A new olfactory display that can present a virtual odor source at an arbitrary position on a two-dimensional screen is proposed in this paper. The proposed device can give a sensation that an odor is emanating from a certain position on the screen. Fans are placed at the four corners of the screen. The airflows generated by the fans are deflected multiple times by making them collide with each other, and are finally directed toward the user from the position of a virtual odor source on the screen. By introducing odor vapor into the airflows, the odor is spread from the virtual odor source toward the user. The position of the virtual odor source can be shifted to an arbitrary position on the screen by adjusting the balance of the airflows from the four fans. The user can freely move his/her head and sniff at various locations. Potential applications of the proposed device include digital signage, video games, and exhibitions in museums. The result of odor-distribution measurement is presented here to show the validity of the device design. © 2012 IEEE."
381,Creating a game.,REJECTED,Software engineering challenges of multi-player outdoor smartphone games,"Physical inactivity and social isolation are the demons of computer gaming. To combat these and similar problems, my goal is to create attractive game experiences that require play outdoors, encourage multi-player interaction, and incorporate vigorous physical activity inherently. However, play outdoors in large scale naturalistic environments, using only the equipment (e.g., smartphones) people normally carry with them in the world, brings new challenges to game design. Gone is the central server that coordinates all activities and manages evolution of the game state; gone is perfect communication among all players at all times; and gone are specialized sensors and controllers purpose built for games. This paper lays out the motivation for this style of gaming, as well as the challenges we face in engineering them, from requirements capture through design, coding, and validation. Finally, I summarize first steps that have already been taken and hint at future directions. © 2011 ACM."
413,Game as a method to testing software,REJECTED,"Testing, optimizaton, and games","We discuss algorithmic problems arising in the testing of reactive systems, i.e. systems that interact with their environment. The goal is to design test sequences so that we can deduce desired information about the given system under test, such as whether it conforms to a given specification model, or whether it satisfies given requirement properties. Test generation can be approached from different points of view - as an optimization problem of minimizing cost and maximizing the effectiveness of the tests; as a game between tester and system under test; or as a learning problem. We touch on some of these aspects and related algorithmic questions."
427,Showing off the game engine,REJECTED,The Panda3D graphics engine,"Panda3D is a platform-agnostic, networked, display architecture designed to be flexible enough to support everything from real-time graphics applications to the development of high-end virtual reality theme park attractions or video games. Wherever possible, Panda uses standard programming tools and techniques, thus decreasing learning curve for new Panda programmers and making the engine more adaptable to advances in compilers, graphics, and other related components. It also uses the Python scripting language as an interface to C+++ libraries. This allows for rapid prototyping, which shortens development time and improves quality."
437,About mobile toolkits in games.,REJECTED,Toolkits for open innovation - The case of mobile phone games,"User toolkits enable consumers to develop customized product applications without having dedicated technical knowledge. Applied in the field of handheld computing, toolkits are a very powerful instrument to meet the growing demand for customized mobile applications. In this paper, the theoretical principles and functionalities of user interaction toolkits are translated into a technical software concept for mobile phone games. The presented toolkit is a new internet based application allowing users to create a customized game on their desktop computer and to transfer it to handheld devices. In contrast to well known open source software development projects, no programming expertise is required. Thus, participation of innovative users is comparatively easy. In line with the open source concept, but as an extending feature to the toolkit approach, the presented solution is embedded in an online community. Thus, contributions by innovative users can be stored in a library leading to a continuously growing information pool of available components. Games and components can be passed on easily between customers, facilitating the adoption of other users' contributions as well as collaborative development between users. The community feature of the toolkit does not only provide the common toolset of online communities allowing for user-to-user communication, e.g. chats and bulletin boards, or text based contributions, e.g. recommendations, product evaluations and voting tools, but it also enables users to exchange and jointly develop actual product prototypes. In this regard, the presented 'toolkit for open innovation' will be the foundation of a 'value web' in a unique manner: a value web in between consumers and users. The paper further derives economic benefits of the developed toolkit for mobile phone game creation theoretically and integrates them into a diversified business model. The toolkit as a distinct performance feature has the potential to establish a social environment for its most enthusiastic users and thereby to strengthen user relationships with the provider and increase overall business success."
531,Not about games.,REJECTED,Towards a methodology for validating emergent behavior simulations,"As game technology becomes more widely used in defense, emergency response, and commercial simulations, validating these simulations will become increasingly important. Complex systems, emergent behavior, and rapid update cycles make validation simulations in this environment particularly challenging. Standard approaches to validation fall short of achieving the desired results for the complex behaviors generated human behavior models and agent based simulations. A methodology is needed that will provide effective VV&A for these complex behavior models. This paper outlines necessary requirements leading toward an approach for developing an effective validation process for behavior generation software and addresses the capabilities and limitations of vali-dation for the developed simulations."
533,Not about testing games.,REJECTED,Towards immersive multimodal gameplay,"We describe a computer game design that employs interface mechanisms fostering a greater sense of player immersion than is typically present in other games. The system uses a large-scale projection display, video-based body position tracking, and bimanual gestural input for interaction. We describe these mechanisms and their implementation in detail, highlighting our user-centered design process. Finally, we describe an experiment comparing our interaction mechanisms with conventional game controllers. Test subjects preferred our interface overall, finding it easier to learn and use."
540,Not related to gamedev.,REJECTED,Verification and refutation of probabilistic specifications via games,"We develop an abstraction-based framework to check probabilistic specifications of Markov Decision Processes (MDPs) using the stochastic two-player game abstractions (i.e. ""games"") developed by Kwiatkowska et al. as a foundation. We define an abstraction preorder for these game abstractions which enables us to identify many new game abstractions for each MDP - ranging from compact and imprecise to complex and precise. This added ability to trade precision for efficiency is crucial for scalable software model checking, as precise abstractions are expensive to construct in practice. Furthermore, we develop a four-valued probabilistic computation tree logic (PCTL) semantics for game abstractions. Together, the preorder and PCTL semantics comprise a powerful verification and refutation framework for arbitrary PCTL properties of MDPs. © Mark Kattenbelt and Michael Huth."
